contents,category
【郑州拟调整公积金贷款政策：首套住房最高贷款70％】郑州住房公积金管理中心发布关于征求住房公积金个人住房贷款政策调整意见和建议的通知。除适当延长申请公积金贷款的缴存时限以外，调整内容还包括，结合郑州不同区域的住房价格，按市区和非市区分别设定最高公积金贷款限额。通知还提出，按照缴存和购房情况设定最高贷款比例（贷款金额占房产总价比例）。首次使用公积金贷款购买家庭首套住房的，最高贷款比例设定为70%；异地贷款及其他情况最高贷款比例设定为40%。（大河报）,房地产开发
【郑州拟调整公积金贷款政策：首套住房最高贷款70％】郑州住房公积金管理中心发布关于征求住房公积金个人住房贷款政策调整意见和建议的通知。除适当延长申请公积金贷款的缴存时限以外，调整内容还包括，结合郑州不同区域的住房价格，按市区和非市区分别设定最高公积金贷款限额。通知还提出，按照缴存和购房情况设定最高贷款比例（贷款金额占房产总价比例）。首次使用公积金贷款购买家庭首套住房的，最高贷款比例设定为70%；异地贷款及其他情况最高贷款比例设定为40%。（大河报）,银行
  北上资金今日净买入中国平安8.30亿元、隆基股份6.39亿元，净卖出贵州茅台13.54亿元、宁德时代7.09亿元。,白酒
【北京某银行人士：出现过挪用经营贷购房被要求提前还款案例】随着监管部门加强对经营性贷款流入房地产市场、股市的核查力度加大，部分违规挪用贷款资金行为也被查出，且按照合同要求，相关贷款人已被要求提前还款。“前段时间有几个被要求提前还款的案例出现，合同也有这项规定，近期没有了，监管最近核查力度很大，大数据每天都在跑。”3月9日，一家国有大行个人贷款经理对记者称。(21世纪经济报道),银行
美国银行：将2021年黄金价格预期从2063美元/盎司下调至1818美元/盎司；将白银价格预期从28.74美元/盎司上调至29.28美元/盎司。,银行
【证券时报头版评论：在基金大幅波动中 新基民更应保持理性和冷静】基金大跌背后，不变的是我国经济的快速复苏，不少行业景气度上行。只要基金底层投资的个股优质，长期业绩向好，就是长期持有的理由；基金短期的大跌，也不会改变权益类基金长期的赚钱效应，社保基金自成立以来年均8%以上的投资收益率，偏股型基金19年来平均超过16%的年化收益率，都在凸显投向权益类资产的长期价值。基金公司更应以此为鉴，通过发行规模限制、持有期产品、严禁娱乐化、基金投顾、投资者教育等形式，在基金规模和长期业绩之间寻求平衡，更好保护投资者的利益，夯实基金业高质量发展的根基。,银行
  A股三大股指高开高走，沪指涨幅扩大至1%，创业板指涨近1%，水泥、碳中和、银行板块涨幅居前。,银行
  贵州茅台涨超5%，股价最高至2079.99元。,白酒
"上证综指午盘收涨1.78%，报3417.63点。贵州茅台对指数上涨贡献最大，上涨4.5%。 怡球资源涨幅最大，上涨10.1%。午盘交易中，1,553支股票中1,177支上涨，292支下跌；所有类股均走高，以工业股为首。",白酒
【午评：两市强势回暖沪指涨1.78% 碳中和概念再大涨】三大股指小幅高开后大幅反弹，创业板涨幅一度扩大至3%。沪指、深成指一度涨超2%，沪深300、上证50指数一度涨超2.5%。盘面上，水泥、碳中和板块持续强势，稀缺资源、机场航运板块表现活跃。总体上，市场情绪高涨，赚钱效应攀升。临近上午收盘，指数涨势小幅回落。板块方面，周期股集体发力，白酒、医美、民航板块先后走强。个股涨多跌少，赚钱效应较好。从盘面上看，水泥、碳中和、有色等板块涨幅居前，零售、猪肉、注册制次新股等板块跌幅居前。,白酒
【北美地区本周日开始实行夏令时】3月14日（周日），北美正式切换夏令时。美国和加拿大金融市场的交易时间（金银、美油、美股等）和经济数据公布时间将较冬令时提前一小时。3月15日（下周一）开始，金银、美油将提早于北京时间6:00开盘，美股将于北京时间21:30开盘，敬请各位投资者留意。,银行
【发改委：引导加大金融支持力度 促进风电和光伏发电等行业健康有序发展】 发改委等多部门发布《关于引导加大金融支持力度 促进风电和光伏发电等行业健康有序发展的通知》。通知称，对短期偿付压力较大但未来有发展前景的可再生能源企业，金融机构可以按照风险可控原则，在银企双方自主协商的基础上，根据项目实际和预期现金流，予以贷款展期、续贷或调整还款进度、期限等安排。,银行
  钢铁板块继续走强，安阳钢铁拉升触板，新钢股份、华菱钢铁、凌钢股份等跟涨，酒钢宏兴此前涨停。,白酒
【午评：三大指数探底回升创指涨0.4% 碳中和概念领涨】三大指数高开低走至悉数翻绿，创业板指一度跌逾1%。盘面上，碳中和板块走强，养老概念板块拉升，航空、有色等板块跌幅居前。临近午盘，三大指数略有回暖，上行至集体翻红。盘面上，天然气板块异动拉升。总体上，市场整体情绪一般，板块个股跌多涨少，赚钱效应一般。从盘面上看，环保、水泥、汽车板块涨幅居前，白酒、饮料制造、半导体板块跌幅居前。,白酒
【10年期美债收益率一年来首次涨穿1.63%，带动银行股上涨，但美股大盘仍然分化，道指涨超百点纳指跌1.7%】美国10年期国债收益率涨穿1.63%，为2020年2月份以来首次，日内涨幅扩大至将近10个基点。标普500指数维持0.5%的跌幅，道指维持超过100点的涨幅，纳指目前跌超1.7%。费城半导体指数跌超2.2%。大型银行股普遍上涨，富国银行涨超2.1%，美国银行、摩根士丹利、高盛、花旗、摩根大通等均涨超1.0%。科技股中，苹果目前跌2.2%，特斯拉跌约4.0%。半导体类股中，CREE、安森美、BRKS仍然跌超3.0%。,银行
"【防违规骗提，北京拟调整买二手房提公积金条件，公开征求意见】北京住房公积金管理中心发布关于对《关于进一步优化住房公积金提取业务的通知（征求意见稿）》公开征集意见的公告。公告称，近期部分群众反映：提取已故职工住房公积金需提供公证书或判决书等材料，因账户余额少、办理手续复杂，提取存在不便。另，部分职工购买北京市存量住房（也称“二手房”），撤销购房网签后，仍以购房名义提取公积金,存在违规骗提风险。为回应群众关切，加强住房公积金提取领域风险防控，充分维护缴存人合法权益，管理中心起草相关文件将报请北京住房公积金管理委员会审议。",房地产开发
【3月14日北美地区开始实行夏令时，美国和加拿大金融市场交易时间将较冬令时提前一小时】3月14日 北美地区开始实行夏令时，具体为美东时间02:00将时钟拨快一个小时，至2021年11月7日（美东时间02:00）终止；美国和加拿大金融市场交易时间将较冬令时提前一小时，美股开盘时间将提前至21:30。欧洲夏时制将于3月28日周日开始。,银行
【国家统计局：房地产市场有条件、有基础进一步持续健康发展】国家统计局新闻发言人刘爱华表示，今年《政府工作报告》对解决好大城市的住房突出问题，完善住房市场体系、保障体系都进行了安排和部署。各地区各部门也按照因城施策的原则和要求，坚持问题导向，根据各地房地产市场不同的表现，及时采取各项调控措施，切实加强住房政策和人口、土地、金融政策的协同，相信在坚持房子是用来住的、不是用来炒的大原则指引下，房地产市场有条件、有基础进一步持续健康发展。,房地产开发
【国家统计局：房地产市场有条件、有基础进一步持续健康发展】国家统计局新闻发言人刘爱华表示，今年《政府工作报告》对解决好大城市的住房突出问题，完善住房市场体系、保障体系都进行了安排和部署。各地区各部门也按照因城施策的原则和要求，坚持问题导向，根据各地房地产市场不同的表现，及时采取各项调控措施，切实加强住房政策和人口、土地、金融政策的协同，相信在坚持房子是用来住的、不是用来炒的大原则指引下，房地产市场有条件、有基础进一步持续健康发展。,银行
【合肥市约谈11家房企及4家经纪机构：不得捆绑搭售、价外加价；不得虚假宣传】近期合肥市少数房地产开发企业、经纪机构及从业人员存在加价或变相加价等违法违规行为，部分小区业主以及自媒体也跟风炒作，煽动房价上涨，严重扰乱了我市房地产市场秩序。针对以上问题，有关主管部门正在开展专项检查，并约谈了部分参与炒作房价的个人、自媒体，同时作出相应处理。对近期在检查中发现的有关涉嫌加外加价等违规销售线索正在履行调查处理程序。（合肥晚报）,房地产开发
【三六零：将进一步加强对广告代理商的监管 切实履行平台责任】三六零早间发布公告称，关注到有关媒体报道称公司旗下产品“360搜索”相关广告代理商投放的医疗广告中存在造假违规操作问题。公司作为平台方，高度重视上述报道中提及的问题，已于第一时间成立调查组，对报道涉事代理商及相关账号进行核实与彻查，并将对违法违规行为进行严肃处理。同时公司将进一步加强对广告代理商的监管，强化广告内容的审核，切实履行平台责任。目前公司正在积极配合相关主管部门对其违法违规行为进行核查及认定，待问题结论明确后，公司将根据相关情况依法依规及时履行信息披露义务。,银行
【嘉兴对非本市户籍有房家庭限购：暂停向拥有1套及以上非本市户籍家庭出售住房】嘉兴市住房和城乡建设局印发《嘉兴市关于进一步促进房地产市场平稳健康发展有关事项的通知》。《通知》包含暂停向在全市范围内拥有1套及以上住房的非本市户籍居民家庭出售住房（含新建商品住房和二手住房。自本通知实施之日起，扩大商品住房限制转让实施范围，从嘉兴市区范围扩大到全市范围，限制转让时间为自购买之日起满2年等。执行时间从2021年3月16日零时开始。,房地产开发
英国央行行长贝利：将在2021年继续购买政府债券，尽管负收益率将对私人投资和企业储蓄造成不利影响。,银行
【央行副行长刘桂平：建议制定“金融稳定法”，精准识别高风险机构】中国人民银行副行长刘桂平撰文建议，通过“金融稳定法”建立跨行业跨部门的金融稳定总体工作机制。建立健全系统性金融风险监测评估制度，完善中央银行金融机构评级体系，精准识别高风险机构，及时发现、识别和防范金融风险。构建早期预警与早期纠正制度，充分发挥存款保险机构早期纠正作用，引导金融机构建立恢复与处置计划，坚持早发现、早干预、早纠正，将风险化解于苗头阶段。（《中国金融》杂志）,银行
【银行养老理财接受监管指导，冠名“养老”字样须获许可】从多位银行人士处了解到，受监管部门窗口指导，银行及其理财子公司发行产品的名称中不得含有“养老”二字。下一步，若发行含有“养老”字样的理财产品，需获得监管部门许可。（中证报）,银行
深圳监管通报经营贷违规买房案例，有大行需结清消费贷经营贷方批房贷。（21世纪经济报道）,房地产开发
上交所：加快推进基础设施公募REITs的试点进程和项目落地，在碳中和、科技创新等方面推出更多的创新品种；做好市场联通和对外开放工作，推动与银行间市场互联互通落地，支持外资直接入市。,银行
【美股盘前消息速报】①截至发稿，道指期货跌0.1%，标普500期指跌0.7%，纳指期货跌1.6%。②美元反弹至91.60附近，欧元兑美元下挫，最低跌至1.1934；英镑兑美元冲高回落，早期一度突破1.40关口。③现货黄金失守1730美元/盎司，日内跌近1%。④全球金融市场借贷成本的关键基准10年期美国国债收益率上升了0.096个百分点，至1.738%。自2020年1月以来首次升至1.7%以上。⑤AMC院线盘前涨超5%，3月19日起，AMC院线在美国98%的影院将开放。⑥中概股新能源汽车板块盘前普跌，小鹏汽车跌2%，蔚来汽车跌1.5%，理想汽车跌1.7%。⑦微博盘前涨超6%，第四季度营收同比增加10%，预计今年第一季度营收增加至少30%。⑧拼多多盘前跌近3%，花旗集团将拼多多目标价从210美元下调至190美元。麦格理将拼多多目标价从171美元下调至151美元。⑨哔哩哔哩盘前涨超1%，哔哩哔哩港股今日首日招股。截至下午六点，孖展认购已录约147.4亿港元认购，公开招股部分超额认购18.9倍。,银行
【IPO辅导迎实质性收紧：严查资金流水，将下发辅导工作材料清单文件】有国内头部券商投行业务相关负责人透露，当日国内某证监局召开辅导监管工作会议，要求IPO发行人和中介机构高度重视资金流水核查。“务必取得实际控制人、董监高、财务和其他相关人士的所有银行卡，现场验收时如发现银行卡提供不齐全，证监会会中止验收程序，对于资金流水中大额的流水，需解释发生原因并取得底稿”。另外，该证监局后续还将下发辅导工作材料清单文件，涉及20项左右需要企业提供的资料。（21财经）,银行
【国家电网发布加快抽水蓄能开发建设重要举措，“十四五”投资抽蓄1000亿元】国家电网发布服务碳达峰碳中和构建新型电力系统加快抽水蓄能开发建设重要举措，力争“十四五”期间在新能源集中开发地区和负荷中心新增开工2000万千瓦以上装机、1000亿元以上投资规模的抽水蓄能电站。向社会开放国家电网拟建抽水蓄能项目，合作模式一厂一议、灵活选择，社会资本可参可控。对于有意愿有能力的社会资本，可由社会资本控股并建设管理电站，与社会各方力量建立共建共享机制，实现合作共赢。（中国电力报）,银行
【收评：指数震荡走低创指跌2.8% 白马股集体杀跌】3月19日消息，A股三大指数大幅低开，采掘板块领跌。盘中，指数延续绿盘震荡，电力、环保工程、次新股等碳中和受益板块先后拉升，石油采矿、水泥等周期股走弱，黄白线持续背离，权重股大幅杀跌，中小市值股大多飘红。午后，指数持续走弱，沪指一度失守3400点，创指、深成指跌幅先后扩大至3%，航运概念股大跌，军工、次新股逆势上涨，白马股集体重挫，贵州茅台股价跌破2000元，资金避险情绪升温，两市超过2300个股下跌。从盘面上看，电力、次新股、国防军工等板块涨幅居前，采掘服务、白马股、有机硅等板块跌幅居前。,白酒
道指跌幅扩大至1%，金融板块拖累指数下行，耐克跌近4%领跌成分股。,银行
【海南省常务副省长沈丹阳：大力发展离岛免税购物】海南省常务副省长沈丹阳20日在中国发展高层论坛2021年会上表示，按照中央对海南的定位，海南正在加快构建旅游业、现代服务业、高新技术产业以及热带特色高效农业的现代产业体系，这里面蕴含着大量的投资机会。,银行
【3月LPR报价出炉：1年期与5年期品种均与上月持平】中国3月1年期贷款市场报价利率（LPR）为3.85%，预期为3.85%，上月为3.85%。5年期贷款市场报价利率为4.65%，预期为4.65%，上月为4.65%。,银行
  美联储：估计2020年主体街贷款项目的损失为24亿美元。,银行
美联储理事布雷纳德：美联储将成立金融稳定气候委员会。金融市场必须为气候变化的挑战做好准备。不做好应对气候风险的准备可能会带来巨大损失。,银行
【美股大幅高开 道指直线拉涨逾200点】能源板块、银行板块、航空板块涨幅居前，科技股、新能源汽车股普跌。,银行
全国主要银行信贷结构优化调整座谈会在京召开，会议强调，围绕实现碳达峰、碳中和战略目标，设立碳减排支持工具，引导商业银行按照市场化原则加大对碳减排投融资活动的支持，撬动更多金融资源向绿色低碳产业倾斜。（中国人民银行）,银行
央行：强调坚持“房子是用来住的、不是用来炒的”定位，保持房地产金融政策的连续性、一致性、稳定性，实施好房地产金融审慎管理制度，加大住房租赁金融支持力度。,房地产开发
央行：强调坚持“房子是用来住的、不是用来炒的”定位，保持房地产金融政策的连续性、一致性、稳定性，实施好房地产金融审慎管理制度，加大住房租赁金融支持力度。,银行
央行：围绕实现碳达峰、碳中和战略目标，设立碳减排支持工具，引导商业银行按照市场化原则加大对碳减排投融资活动的支持，撬动更多金融资源向绿色低碳产业倾斜。,银行
中国央行发布关于引导加大金融支持力度，促进风电和光伏发电等行业健康有序发展的通知。,银行
【国联证券董事长姚志勇：公司目前没有并购重组的计划】国联证券今日通过网络方式召开2020年度业绩说明会。国联证券董事长姚志勇在回答投资者提问时表示，去年10月公司已公告终止筹划与国金证券的重大资产重组事项。公司目前没有并购重组的计划。公司严格遵守上市规则履行信息披露义务，不存在应披露而未披露的信息。,银行
【央行：3月26日将开展50亿元票据互换（CBS）操作】为提高银行永续债的市场流动性，支持银行发行永续债补充资本，2021年3月26日（周五）中国人民银行将开展2021年第三期央行票据互换（CBS）操作。本期操作量为50亿元，期限3个月。,银行
白酒股集体走强，金徽酒、水井坊双双涨停，山西汾酒、泸州老窖涨超5％。,白酒
外汇局：2020年末，我国对外金融资产87039亿美元，对外负债65536亿美元，对外净资产21503亿美元。,银行
外汇局：2020年四季度，我国经常账户顺差8177亿元，资本和金融账户逆差2768亿元，其中，非储备性质的金融账户逆差1143亿元，储备资产增加1628亿元。,银行
【私募大佬调仓换股曝光，去年四季度冯柳新进大亚圣象、风华高科】 2020年四季度冯柳新进大亚圣象、风华高科，清仓中国国贸和中航机电，与景林资产一起坚守大华股份。高毅另一位投资高手邓晓峰则对其重仓股紫金矿业进行小幅减仓。原汇添富基金总经理林利军的正心谷资本大举买入海螺水泥，林鹏掌舵的上海和谐汇一资产新进华域汽车，民间私募大佬林园则在去年四季度杀进金龙鱼，另一私募大佬裘国根的重阳投资坚守上海家化。（券商中国）,房地产开发
【私募大佬调仓换股曝光，去年四季度冯柳新进大亚圣象、风华高科】 2020年四季度冯柳新进大亚圣象、风华高科，清仓中国国贸和中航机电，与景林资产一起坚守大华股份。高毅另一位投资高手邓晓峰则对其重仓股紫金矿业进行小幅减仓。原汇添富基金总经理林利军的正心谷资本大举买入海螺水泥，林鹏掌舵的上海和谐汇一资产新进华域汽车，民间私募大佬林园则在去年四季度杀进金龙鱼，另一私募大佬裘国根的重阳投资坚守上海家化。（券商中国）,银行
【中信证券：悲观预期顶点已现市场底部确认 四月基本面破局】中信证券认为，节后投资者谨慎情绪逐级递增，当前悲观预期顶点已现，市场底部确认，4月投资者情绪和行为将趋于平静，但市场形成新一轮持续上涨需要时间，基本面将替代流动性成为破局因素，中国稳健增长的正面因素不断积累，海外强复苏的预期向下修正，配置上应继续向新主线转移，一是本轮市场调整后性价比较高的成长板块如半导体设备和军工等，二是疫情受损板块如旅游酒店和航空等，三是受益于海外需求复苏的品种如汽车零部件和家电等，四是一季报预期延续高景气的品种，如有色和化工。,白酒
【中信证券：悲观预期顶点已现市场底部确认 四月基本面破局】中信证券认为，节后投资者谨慎情绪逐级递增，当前悲观预期顶点已现，市场底部确认，4月投资者情绪和行为将趋于平静，但市场形成新一轮持续上涨需要时间，基本面将替代流动性成为破局因素，中国稳健增长的正面因素不断积累，海外强复苏的预期向下修正，配置上应继续向新主线转移，一是本轮市场调整后性价比较高的成长板块如半导体设备和军工等，二是疫情受损板块如旅游酒店和航空等，三是受益于海外需求复苏的品种如汽车零部件和家电等，四是一季报预期延续高景气的品种，如有色和化工。,银行
  【ST德豪收关注函：要求详细说明优化调整小家电业务的具体方案等】ST德豪收到关注函，公司多名董事对《关于优化调整小家电业务的议案》提出异议，表示议案发送时间短，议案材料不够充分，无法判断该议案对公司的影响和相关风险。要求详细说明优化调整小家电业务的具体方案以及实施该方案的必要性和合理性；论证本次会议相关议案是否需提交股东大会审议，请律师出具法律意见书；公司实控人王冬雷因债务到期未清偿而被法院列入失信被执行人，要求公司聘请律师对王冬雷是否具有董事任职资格以及王冬雷在本次董事会投票结果是否有效出具法律意见书。,银行
  【中信证券：银行板块长期具备绝对价值 短期具备相对价值】中信证券研报指出，结合近期货币政策、信贷政策与监管政策的系列联动，预计年内货币条件平稳、金融结构优化将是政策目标方向，上述政策组合有助于银行经营环境稳定。板块投资方面，银行板块长期具备绝对价值，短期具备相对价值，可关注财报季业绩改善催化的投资机会。,银行
【午评：指数早盘震荡上行沪指涨0.8% 白酒煤炭大反攻】A股三大指数集体高开，盘面上煤炭概念股领涨。随后，指数急速下跌，沪指、创指先后翻绿，汽车股、国产服装板块大幅下挫，数字货币、电力股异动拉升。盘中，指数探底回升，电力、煤炭、钢铁、水泥等周期股大幅上涨，白酒、军工板块先后拉升，资金情绪逐步回暖，两市超过2200个股上涨。临近午盘，两市指数延续红盘震荡，军工板块、医美概念拉升冲高，白酒股集体爆发，茅台涨幅一度扩大至4%。从盘面上看，煤炭、白酒、造纸等板块涨幅居前，环保工程、汽车、电子竞技等板块跌幅居前。,白酒
【收评：指数冲高回落沪指涨0.5% 煤炭油服全线爆发】A股三大指数集体高开，盘面上煤炭概念股领涨。随后指数翻绿，汽车、服装板块跌幅居前，数字货币、电力股异动拉升。盘中，指数探底回升，煤炭、钢铁、水泥等周期股大涨，白酒、军工板块先后走高，资金情绪逐步回暖，两市超过2200个股上涨。午后，指数再度下探，稀土、有机硅、油服、医美等板块表现活跃，环保工程、电子竞技、免税店、在线教育、无人零售等板块大幅下挫，市场情绪偏向于谨慎，个股跌多涨少。从盘面上看，采掘服务、煤炭、造纸等板块涨幅居前，无人零售、在线教育、社区团购等板块跌幅居前。,白酒
【四连板雪迪龙：二氧化碳排放监测及交易的政策及标准的制定、实施等仍具有不确定性】近四个交易涨停的雪迪龙(002658)3月30日晚间公告，公司是专业从事环境监测系统、工业过程分析系统的研发、设计、生产、销售以及相关服务的高新技术企业，主营业务涵盖污染源排放监测领域，公司拥有二氧化碳在线监测设备，因此受到市场关注，股价波动较大。目前，利用在线监测法开展二氧化碳排放监测及交易的政策及标准的制定、实施等仍具有不确定性，提醒投资者注意投资风险。,银行
【中国央行：清迈倡议多边化协议特别修订稿生效】2021年3月31日，由东盟与中日韩（10+3）财长和央行行长以及中国香港金管局总裁共同签署的清迈倡议多边化（CMIM）协议特别修订稿正式生效。 此次修订主要内容如下：一是在清迈倡议多边化协议中增加本币出资条款，即在美元计价贷款以外，成员可基于自愿和需求驱动原则，提供本币计价贷款。二是将清迈倡议多边化与国际货币基金组织（IMF）贷款的脱钩比例从30%提高至40%。三是明确其他技术性问题，包括与伦敦银行同业拆借利率（LIBOR）退出相关的修改等。,银行
【北京国际大数据交易所成立】3月31日上午，北京国际大数据交易所成立发布会举行。由北京金融控股集团有限公司发起，注册成立了“北京国际大数据交易有限公司”，作为北京国际大数据交易所的运营主体。股东方还包括具备市场化数据交易运营经验的京东数字科技控股股份有限公司等3家企业。北京国际大数据交易所将以数据技术为支撑，采用隐私计算、区块链等手段分离数据所有权、使用权、隐私权；促数字经济更安全，在金融科技领域率先落地监管沙箱机制。（北京日报）,银行
三大指数集体跌超1％，抱团股再度回调，金龙鱼、五粮液、迈瑞医疗等跌幅居前。,白酒
【银保监会：持续深入查处重大风险事件金融案件背后的利益输送监管失守问题】记者31日从银保监会获悉，该部门将坚决惩治重大金融风险背后的腐败问题。坚持无禁区、全覆盖、零容忍，坚持重遏制、强高压、长震慑，重点关注高风险机构和地区，持续深入查处重大风险事件、金融案件背后的利益输送、监管失守问题，特别是破坏监管秩序、市场秩序，造成国有金融资产重大损失甚至诱发风险事件的，一律严惩不贷。,银行
【午评：指数早盘震荡走弱沪指跌0.6% 数字货币逆势上涨】A股三大指数小幅低开，碳中和概念开盘走弱。随后指数持续下行，汽车股、白酒股遭遇重挫，小米概念、数字货币、新疆振兴等板块逆势走高。盘中，三大股指集体跌逾1%，军工股、稀土板块持续大跌，碳中和、电力、环保概念股拉升回暖。抱团股再度崩盘，茅台跌幅一度超过2.5%。总体来看，资金观望情绪浓厚，个股跌多涨少。临近午盘，指数延续低位盘整。从盘面上看，数字货币、港口航运、电力等板块涨幅居前，军工、稀土、大豆等板块跌幅居前。,白酒
【上海黄金交易所2021年3月31日交易行情，黄金T+D成交量37.352吨】① 黄金T+D收盘下跌1.51%至356.68元/克，成交量37.352吨，成交金额133亿760万2580元，交收方向“空支付给多”，交收量6.702吨；② 迷你金T+D收盘下跌1.52%至356.68元/克，成交量6.7726吨，成交金额24亿1509万4022元，交收方向“空支付给多”，交收量18.240吨；③ 白银T+D收盘下跌2.26%至5010元/千克，成交量8688.664吨，成交金额434亿2961万4148元，交收方向“多支付给空”，交收量12.570吨；④ 今日金银行情驱动因素：最新数据显示中国制造业活动增速高于预期，打击贵金属的避险魅力，而美国公债收益率高位运行，亦加重贵金属市场压力。,银行
  【央行：考虑条件成熟时数字人民币用于跨境支付】中国人民银行研究局局长王信1日在国新办举行的新闻发布会上介绍，数字人民币将主要用于国内零售支付，此前已在国内多个试点地区进行测试，测试场景越来越丰富，也考虑在条件成熟时、顺应市场需求用于跨境支付交易，这也是可以实现的。,银行
中国人民银行等部门发布关于进一步延长普惠小微企业贷款延期还本付息政策和信用贷款支持政策实施期限有关事宜的通知：普惠小微企业贷款延期还本付息政策延期至2021年12月31日。,银行
创业板指涨幅扩大至1%，半导体、白酒板块涨幅居前。,白酒
  房地产板块午后异动，中国武夷、新华联双双秒板，金融街、新城控股、嘉凯城、绿景控股等跟涨。,房地产开发
  房地产板块午后异动，中国武夷、新华联双双秒板，金融街、新城控股、嘉凯城、绿景控股等跟涨。,银行
【收评：指数高开高走沪指涨0.5% 芯片、白酒双雄崛起】4月2日消息，A股三大指数集体高开，数字货币开盘领涨。盘中，指数震荡上行，创指涨幅扩大至1.5%。板块方面，第三代半导体、光刻胶等芯片概念股集体爆发，白酒、消费电子强势冲高，燃气水务、服装家纺表现活跃，电力、煤炭、钢铁等周期股遭遇重挫。午后，指数窄幅震荡，科技股继续领涨，酒店餐饮、旅游板块先后拉升，碳中和概念回调，茅台尾盘涨逾5%。从盘面上看，第三代半导体、数字货币、白酒概念等板块涨幅居前，采掘服务、电力、钢铁等板块跌幅居前。,白酒
  中国人民银行、中国银行保险监督管理委员会发布关于《系统重要性银行附加监管规定（试行）（征求意见稿）》公开征求意见的通知。,银行
中国央行：《金融控股公司董事、监事、高级管理人员任职备案管理暂行规定》已经2021年3月11日中国人民银行2021年第2次行务会议审议通过，现予发布，自2021年5月1日起施行。http://t.cn/A6cLYeSr,银行
  中国人民银行发布《金融控股公司董事、监事、高级管理人员任职备案管理暂行规定》，《董监高规定》按照人员适当性原则，结合金融控股公司特点，明确董监高任职条件和备案程序，应具备与岗位相适应的技能、经验和知识，并加强任职管理，防控关键岗位人员风险，规范兼职、代为履职、公示人员信息等行为。同时，《董监高规定》明确人民银行负责对金融控股公司董监高进行备案和监督管理，加强事中事后监管，强化责任追究力度。,银行
【沪宁股份本周大跌43% 中小投资者为主要买入方】本周（3月29日至4月2日）沪宁股份 (300669)累计大跌43%，累计成交8.67亿元。龙虎榜数据显示，本周机构、中小投资者以外的自然人均主要卖出，分别净卖出1.67亿元、7262万元。中小投资者为主要买入方，净买入金额2.39亿元。,银行
【广州发布楼市调控新政：人才房限售年限延长至3年】4月2日，广州市印发了《广州市人民政府办公厅关于进一步促进房地产市场平稳健康发展的意见》，针对不同购房人群，广州将本着精准施策和分类管控原则。对通过享受人才政策购买的住房（含新建商品住房和二手住房），限售年限从取得不动产证之日起满2年延长至满3年。,房地产开发
【短线美元或走强，但长期警惕下行风险】市场分析人士表示，美国3月非农就业人口增加91.6万，超过了普遍预期的66万，2月份的数据从37.9万上修为46.8万，美元指数进一步反弹，并在非农就业数据公佈后收复93.00关口；本周美元的上行势头在93.50之前有所减弱，引发下行修正，200日移动平均线的突破似乎支持了目前对美元的建设性看法，至少在短期内是如此，从而支撑了该指数近期的反弹；此外最近通过的财政刺激计划，增加了美国经济持续走强的预期，以及投资者对未来几个月通胀将上升的看法，所有这些都变成了美元的额外提振，然而美联储宽松政策立场和全球经济强劲复苏的希望仍然支持冒险情绪，从长远来看可能减少美元的上行势头。,银行
【合肥发布房地产“新政八条”：二手房限购、热点楼盘“摇号＋限售”】4月6日，合肥市发布《关于进一步促进我市房地产市场平稳健康发展的通知》，主要内容有8条：稳定增加居住用地供应、实行市区学区内成套住房入学年限政策、深化住房限购措施、实行市区热点楼盘“摇号+限售”政策、从严调控商品住房价格、加强住房贷款审慎管理、加大租赁住房建设力度、严厉打击各种房地产市场乱象。新政自2021年4月6日起施行。（合肥晚报）,房地产开发
【合肥发布房地产“新政八条”：二手房限购、热点楼盘“摇号＋限售”】4月6日，合肥市发布《关于进一步促进我市房地产市场平稳健康发展的通知》，主要内容有8条：稳定增加居住用地供应、实行市区学区内成套住房入学年限政策、深化住房限购措施、实行市区热点楼盘“摇号+限售”政策、从严调控商品住房价格、加强住房贷款审慎管理、加大租赁住房建设力度、严厉打击各种房地产市场乱象。新政自2021年4月6日起施行。（合肥晚报）,银行
  国家外汇管理局副局长、新闻发言人王春英：2021年3月，我国外汇市场运行稳定，外汇供求基本平衡。国际金融市场上，受新冠肺炎疫情和疫苗进展、主要国家财政政策及货币政策预期等因素影响，美元指数上涨，主要国家债券价格有所下跌，全球股市总体上涨。汇率折算和资产价格变化等因素综合作用，当月外汇储备规模下降。,银行
